The Voice Of Italy;2018-04-5 21:20:00;2018-04-5 23:35:00;["thevoice", "tvoi", "albano", "jax"]
NEMO Nessuno escluso;2018-04-6 21:20:00;2018-04-6 23:50:00;["nemo", "nemorai2"]
Novantesimo Minuto Serie B;2018-04-7 18:10:00;2018-04-7 18:45:00;["novantesimo minuto", "90minuto"]
Il Sabato della DS;2018-04-7 23:00:00;2018-04-7 23:45:00;["lads", "dsportiva"]
Quelli che il calcio;2018-04-8 13:45:00;2018-04-8 17:00:00;["qcc", "quellicheilcalcio"]
Novantesimo Minuto;2018-04-8 17:00:00;2018-04-8 19:30:00;["novantesimo minuto", "90minuto"]
La Domenica Sportiva notte;2018-04-8 23:00:00;2018-04-9 01:00:00;["lads", "dsportiva"]
