cartabianca;2018-04-5 18:25:00;2018-04-5 18:55:00;["cartabianca"]
Chi l'ha visto? notte ;2018-04-5 21:15:00;2018-04-6 00:00:00;["chilhavisto"]
Serena Bortone conduce Agorà;2018-04-6 08:00:00;2018-04-6 10:00:00;["agorà", "agora"]
Mi manda Raitre In difesa degli indifesi;2018-04-6 10:00:00;2018-04-6 10:45:00;["mimandarai3"]
Chi l'ha visto? 11,30;2018-04-6 11:30:00;2018-04-6 11:55:00;["chilhavisto"]
cartabianca;2018-04-6 18:25:00;2018-04-6 18:55:00;["cartabianca"]
Serena Bortone conduce Agorà;2018-04-7 08:00:00;2018-04-7 10:00:00;["agorà", "agora"]
Mi manda Raitre IN +;2018-04-8 09:30:00;2018-04-8 11:00:00;["mimandarai3"]
Report;2018-04-8 16:30:00;2018-04-8 18:00:00;["report", "ranucci"]
Ulisse: il piacere della scoperta Viaggio nel mondo dei Promessi Sposi;2018-04-8 21:30:00;2018-04-8 23:45:00;["ulisse", "alberto angela", "albertoangela"]
Un giorno in pretura Dj Fabo libero di morire;2018-04-9 00:20:00;2018-04-9 01:25:00;["ginpretura", "ungiornoinpretura", "pretura"]
Serena Bortone conduce Agorà;2018-04-10 08:00:00;2018-04-10 10:00:00;["agorà", "agora"]
Mi manda Raitre In difesa degli indifesi;2018-04-10 10:00:00;2018-04-10 10:45:00;["mimandarai3"]
Chi l'ha visto? 11,30;2018-04-10 11:30:00;2018-04-10 11:55:00;["chilhavisto"]
cartabianca;2018-04-10 18:25:00;2018-04-10 18:55:00;["cartabianca"]
Report;2018-04-10 21:15:00;2018-04-10 23:10:00;["report", "ranucci"]
Serena Bortone conduce Agorà;2018-04-11 08:00:00;2018-04-11 10:00:00;["agorà", "agora"]
Mi manda Raitre In difesa degli indifesi;2018-04-11 10:00:00;2018-04-11 10:45:00;["mimandarai3"]
Chi l'ha visto? 11,30;2018-04-11 11:30:00;2018-04-11 11:55:00;["chilhavisto"]
cartabianca notte ;2018-04-11 21:15:00;2018-04-12 00:00:00;["cartabianca"]
